Date,XAUUSD,DXY,XAGUSD,Gold_Silver_Ratio,VIX,GVZ_GoldVol,DGS2,DGS10,DGS30,DFII10_Real10Y,T10YIE_BE10Y,T10Y2Y,DFF_EffFF,SOFR,USD_Broad_TW,SP500,WTI_FRED,EPU_US,HY_OAS
2022-08-01,1769,105.45,20.322,87.05,22.84,17.52,2.90,2.60,2.92,0.09,2.51,-0.30,2.33,2.28,121.41,4118.63,96.59,141.32,
2022-08-02,1771.1,106.24,20.105,88.09,23.93,17.34,3.06,2.75,3.00,0.27,2.48,-0.31,2.33,2.30,121.95,4091.19,97.14,96.66,
2022-08-03,1758,106.51,19.865,88.50,21.95,16.76,3.10,2.73,2.96,0.23,2.50,-0.37,2.33,2.29,122.39,4155.17,93.25,115.69,
2022-08-04,1788.5,105.69,20.099,88.98,21.44,16.95,3.03,2.68,2.97,0.22,2.46,-0.35,2.33,2.29,121.83,4151.94,91.29,78.43,
2022-08-05,1772.9,106.62,19.819,89.45,21.15,16.37,3.24,2.83,3.06,0.37,2.46,-0.41,2.33,2.28,122.32,4145.19,91.77,107.43,
2022-12-30,1819.7,103.52,23.862,76.26,21.67,16.25,4.41,3.88,3.97,1.58,2.30,-0.53,4.33,4.30,121.43,3839.50,80.16,199.30,
