timestamp,open,high,low,close
1743465600000,82516.9,82667.8,82442.8,82445.4
1743466500000,82448.3,82713.7,82388.9,82601.6
1743467400000,82601.5,82701.1,82508.4,82695.9
1743468300000,82693.9,82780.3,82526.3,82616.5
1743469200000,82607.2,82641.1,82426.7,82532.2
1743470100000,82532.8,82680.4,82462.4,82662.1
1743471000000,82663.1,82700.7,82504.8,82539
1743471900000,82539.3,82713.9,82539.3,82671.4
1743472800000,82671.9,82806.9,82607.8,82806.9
1743473700000,82815.2,82978.3,82812.6,82850
1743474600000,82850.2,82921,82756.2,82916
1743475500000,82917,83073.1,82842.3,83058.3
1743476400000,83053.9,83170.5,82989.7,83147.4
1743477300000,83147.8,83225.1,83039.7,83043.3
1743478200000,83047.5,83084.2,82948.1,82963
1743479100000,82962.3,83061.1,82887.9,82926.6
1743480000000,82927.2,82991.9,82866.2,82901.3
1743480900000,82901.1,83019.7,82852,83016.3
1743481800000,83016.9,83200.7,83016.9,83137
1743482700000,83137.3,83138.6,83016.4,83031.2
1743483600000,83022.5,83143.6,82977.3,83143.6
1743484500000,83140.1,83293.8,83140.1,83263
1743485400000,83268.8,83296,83092.7,83143.9
1743486300000,83141.5,83155.7,82959.2,82968.6
1743487200000,82962.8,83021.4,82856.1,82956.5
1743488100000,82949,83104,82934,83104
1743489000000,83096.5,83344.9,83086.6,83317.5
1743489900000,83320.4,83466.6,83273.6,83427.5
1743490800000,83427.1,83477.5,83364.8,83473.2
1743491700000,83475.8,83528.9,83363.5,83413
1743492600000,83416.6,83573.5,83376.3,83524.4
1743493500000,83526.7,83554.1,83419.5,83441.5
1743494400000,83434.7,83667,83422.2,83657.2
1743495300000,83658.2,83976.3,83657,83903.1
1743496200000,83905.7,84151.4,83897.3,83964.9
1743497100000,83970.4,84179.9,83964.2,84095.9
1743498000000,84095.7,84278.4,84095.7,84128.6
1743498900000,84128.7,84268,84114.8,84208.2
1743499800000,84209.2,84323.9,84177.6,84303.6
1743500700000,84304,84366,84238.6,84337.5
1743501600000,84336.3,84366.8,84144.8,84275.7
1743502500000,84275.4,84475.7,84275.4,84408.2
1743503400000,84413.8,84420.6,84169,84222.7
1743504300000,84226.8,84325,84152.3,84157.5
1743505200000,84153.9,84187.9,83948.1,84086.1
1743506100000,84087.1,84155,83973.2,84031.3
1743507000000,84023.9,84023.9,83808.8,83965.8
1743507900000,83959.4,84031.3,83858.6,83897.3
1743508800000,83897.1,84111.8,83891.1,84074
1743509700000,84063.2,84126.8,83898.6,84036.1
1743510600000,84035.2,84040.6,83651,83715.4
1743511500000,83714.3,83776.3,83588.1,83588.4
1743512400000,83599,83788.5,83577.5,83747.4
1743513300000,83744.9,83744.9,83591.1,83658.2
1743514200000,83648.2,83788.5,83411.2,83706.9
1743515100000,83698.1,83860.1,83505.9,83666.1
1743516000000,83655.2,83667.8,82629.9,82776.3
1743516900000,82766.5,82993.8,82491.1,82976.2
1743517800000,82972.7,83595.4,82913.9,83490.8
1743518700000,83490.1,84292.9,83419.3,84181.6
1743519600000,84171.4,84884.4,84149.8,84884.4
1743520500000,84886,85183,84689.1,84732.7
1743521400000,84735.6,85304.3,84733.1,85304.3
1743522300000,85304.9,85476.9,85199.6,85257.4
1743523200000,85259.3,85470.4,85099.8,85156.5
1743524100000,85156.9,85247.4,84816.7,84882.9
1743525000000,84883.6,85117.3,84803.5,84928.9
1743525900000,84931.2,85258.3,84878.7,85107.4
1743526800000,85096.1,85128.8,84886.2,85121.4
1743527700000,85120.9,85136.9,84898,85106.3
1743528600000,85103.1,85239,85080.1,85085.3
1743529500000,85083.9,85309.9,85080.4,85099.3
1743530400000,85106.5,85108.9,84754.7,84844.3
1743531300000,84844.6,84919.5,84700.5,84884.2
1743532200000,84884.7,85161.5,84838,85115
1743533100000,85120.5,85136.6,84914.9,85106.4
1743534000000,85096.6,85150.4,84996.3,85104.8
1743534900000,85104.9,85153.6,84917.2,84929.4
