timestamp,open,high,low,close
1706745600000,2039.855,2040.115,2039.405,2039.605
1706745900000,2039.625,2040.145,2039.045,2039.925
1706746200000,2039.875,2040.285,2039.555,2039.765
1706746500000,2039.735,2040.505,2039.685,2039.975
1706746800000,2039.995,2040.385,2039.975,2040.115
1706747100000,2040.065,2041.115,2039.995,2040.955
1706747400000,2040.965,2041.815,2040.855,2041.525
1706747700000,2041.508,2042.575,2041.478,2041.795
1706748000000,2041.825,2042.465,2041.564,2041.875
1706748300000,2041.825,2041.925,2041.185,2041.185
1706748600000,2041.155,2041.455,2040.915,2041.305
1706748900000,2041.345,2041.395,2040.425,2040.645
1706749200000,2040.645,2041.065,2039.935,2040.525
1706749500000,2040.445,2040.965,2039.975,2040.605
1706749800000,2040.655,2041.305,2040.318,2040.525
1706750100000,2040.535,2040.965,2039.908,2040.015
1706750400000,2040.015,2040.925,2039.978,2040.885
1706750700000,2040.895,2041.025,2040.065,2040.335
1706751000000,2040.345,2041.135,2040.005,2041.135
1706751300000,2041.145,2041.395,2040.815,2040.985
1706751600000,2041.005,2041.775,2040.975,2041.465
1706751900000,2041.445,2041.725,2041.215,2041.235
1706752200000,2041.275,2041.385,2040.925,2041.275
1706752500000,2041.355,2041.845,2041.165,2041.295
1706752800000,2041.255,2041.925,2041.155,2041.855
1706753100000,2041.915,2044.965,2041.875,2044.445
1706753400000,2044.445,2046.035,2044.445,2045.885
1706753700000,2045.915,2049.475,2045.915,2047.125
1706754000000,2047.105,2047.115,2046.078,2046.865
1706754300000,2046.878,2047.025,2046.275,2046.415
1706754600000,2046.455,2046.758,2046.325,2046.638
1706754900000,2046.638,2046.805,2046.328,2046.455
1706755200000,2046.465,2047.275,2046.465,2046.905
1706755500000,2046.965,2047.465,2046.625,2047.175
1706755800000,2047.155,2047.195,2046.665,2046.905
1706756100000,2046.865,2047.405,2046.805,2046.895
1706756400000,2046.905,2048.415,2046.828,2047.185
1706756700000,2047.195,2047.725,2046.738,2046.925
1706757000000,2046.925,2047.108,2045.815,2046.335
1706757300000,2046.308,2046.485,2045.718,2046.258
1706757600000,2046.245,2046.918,2046.055,2046.885
1706757900000,2046.945,2046.955,2046.285,2046.665
1706758200000,2046.665,2046.665,2045.658,2045.678
1706758500000,2045.678,2045.825,2045.448,2045.695
1706758800000,2045.695,2046.385,2045.495,2045.925
1706759100000,2045.895,2046.555,2045.775,2046.555
1706759400000,2046.575,2046.755,2046.385,2046.685
1706759700000,2046.665,2046.785,2046.035,2046.144
1706760000000,2046.144,2046.238,2045.785,2046.115
1706760300000,2046.095,2046.425,2046.005,2046.365
1706760600000,2046.395,2046.505,2045.975,2046.065
1706760900000,2046.075,2046.125,2045.655,2045.935
1706761200000,2045.905,2045.995,2045.238,2045.245
1706761500000,2045.258,2045.565,2045.158,2045.328
1706761800000,2045.245,2045.838,2044.835,2045.815
1706762100000,2045.828,2046.478,2045.758,2046.135
1706762400000,2046.054,2046.265,2045.975,2046.158
1706762700000,2046.135,2046.288,2045.585,2045.585
1706763000000,2045.575,2045.858,2045.345,2045.614
1706763300000,2045.594,2045.885,2045.505,2045.634
1706763600000,2045.605,2045.605,2044.765,2044.925
1706763900000,2044.905,2045.155,2044.705,2044.795
1706764200000,2044.795,2045.305,2044.778,2045.195
1706764500000,2045.185,2045.658,2045.075,2045.235
1706764800000,2045.228,2045.615,2044.935,2045.245
1706765100000,2045.225,2045.595,2045.105,2045.355
1706765400000,2045.405,2046.215,2045.085,2045.265
1706765700000,2045.285,2045.565,2044.505,2045.085
1706766000000,2045.085,2045.655,2044.758,2044.998
1706766300000,2044.998,2044.998,2044.578,2044.818
1706766600000,2044.778,2045.205,2044.705,2044.755
1706766900000,2044.715,2044.945,2044.245,2044.455
1706767200000,2044.435,2044.865,2044.205,2044.215
1706767500000,2044.205,2044.625,2044.025,2044.505
1706767800000,2044.535,2044.795,2043.695,2043.775
1706768100000,2043.765,2044.095,2042.515,2042.515
1706768400000,2042.515,2043.135,2042.265,2042.855
1706768700000,2042.835,2043.405,2042.815,2043.225
1706769000000,2043.198,2043.645,2042.785,2043.605
1706769300000,2043.655,2044.125,2043.285,2043.445
1706769600000,2043.435,2043.795,2042.945,2042.945
