column,non_null,null,first_non_null,last_non_null,last_value
real_yield_10y,2669,0,2016-01-04,2026-08-26,2.32
be_inflation_10y,2669,0,2016-01-04,2026-08-26,2.32
usd_broad_tw,2669,0,2016-01-04,2026-08-26,118.0628
vix,2669,0,2016-01-04,2026-08-26,15.45
hy_oas,748,1921,2023-08-30,2026-08-26,2.7
gld_holdings_tonnes,2669,0,2016-01-04,2026-08-26,1045.5
cot_mm_net,2665,4,2016-01-08,2026-08-26,141648.0
xauusd_close,2669,0,2016-01-04,2026-08-26,4634.045
