timestamp,open,high,low,close
1659312000000,1762.078,1763.968,1760.338,1762.574
1659315600000,1762.644,1765.734,1760.948,1763.344
1659319200000,1763.314,1765.528,1763.208,1764.484
1659322800000,1764.504,1764.908,1761.191,1761.958
1659326400000,1761.938,1762.358,1759.552,1760.198
1659330000000,1760.218,1760.938,1758.208,1758.948
1659333600000,1758.948,1764.724,1758.878,1763.127
1659337200000,1763.127,1767.306,1762.71,1764.362
1659340800000,1764.364,1767.087,1762.128,1765.435
1659344400000,1765.435,1773.507,1764.658,1773.358
1659348000000,1773.398,1774.882,1770.914,1771.224
1659351600000,1771.184,1773.304,1771.124,1772.552
1659355200000,1772.552,1775.314,1765.636,1769.284
1659358800000,1769.284,1774.707,1768.448,1773.418
1659362400000,1773.148,1773.158,1766.188,1768.168
1659366000000,1768.158,1769.752,1764.098,1768.688
1659369600000,1768.648,1773.314,1767.948,1772.934
1659373200000,1772.864,1772.894,1768.664,1768.944
1659376800000,1768.958,1769.704,1766.388,1769.118
1659380400000,1769.118,1771.764,1768.634,1770.844
1659384000000,1770.828,1772.498,1770.684,1771.968
1659387600000,1771.968,1771.968,1771.968,1771.968
1659391200000,1771.438,1772.138,1770.788,1771.564
1659394800000,1771.564,1772.245,1771.148,1772.158
1659398400000,1772.158,1780.388,1770.718,1780.184
1659402000000,1780.224,1780.234,1775.968,1777.374
1659405600000,1777.324,1778.544,1773.908,1775.528
1659409200000,1775.488,1775.488,1772.684,1774.519
1659412800000,1774.514,1774.764,1772.704,1772.858
1659416400000,1772.858,1774.484,1771.258,1772.364
1659420000000,1772.344,1776.068,1771.624,1774.306
1659423600000,1774.354,1774.961,1768.797,1772.124
1659427200000,1772.108,1774.208,1770.304,1773.284
1659430800000,1773.24,1775.018,1772.498,1774.534
1659434400000,1774.534,1776.284,1773.314,1773.588
1659438000000,1773.594,1779.674,1773.428,1778.48
1659441600000,1778.48,1787.928,1777.832,1784.888
1659445200000,1784.888,1785.494,1774.518,1780.378
1659448800000,1780.448,1786.034,1775.758,1776.73
1659452400000,1776.744,1782.061,1775.538,1777.965
1659456000000,1777.965,1778.358,1773.088,1776.078
1659459600000,1776.078,1777.038,1770.078,1770.238
1659463200000,1770.238,1770.348,1765.258,1766.234
1659466800000,1766.214,1767.378,1760.354,1760.502
1659470400000,1760.502,1763.568,1759.818,1759.928
1659474000000,1759.928,1759.928,1759.928,1759.928
1659477600000,1760.598,1762.018,1756.008,1759.488
1659481200000,1759.488,1759.558,1754.828,1756.648
1659484800000,1756.618,1759.468,1755.574,1756.598
1659488400000,1756.598,1764.838,1755.368,1764.577
1659492000000,1764.623,1767.025,1763.584,1765.178
1659495600000,1765.141,1769.244,1765.076,1768.817
1659499200000,1768.814,1769.898,1767.758,1768.743
1659502800000,1768.743,1770.568,1766.938,1769.442
1659506400000,1769.408,1769.408,1766.835,1767.662
1659510000000,1767.788,1769.554,1765.048,1766.094
1659513600000,1766.154,1768.257,1764.032,1765.062
1659517200000,1765.062,1766.784,1764.81,1765.747
1659520800000,1765.747,1766.312,1760.18,1763.242
1659524400000,1763.242,1767.267,1763.152,1765.442
1659528000000,1765.424,1772.358,1762.907,1771.834
1659531600000,1771.814,1772.662,1764.444,1766.797
1659535200000,1766.668,1766.668,1754.198,1757.318
1659538800000,1757.318,1759.798,1756.464,1758.422
1659542400000,1758.422,1761.438,1757.318,1759.344
1659546000000,1759.354,1762.254,1758.754,1761.855
1659549600000,1761.855,1763.428,1760.124,1762.334
1659553200000,1762.348,1766.174,1762.138,1765.144
1659556800000,1765.088,1765.988,1764.598,1765.018
1659560400000,1765.018,1765.018,1765.018,1765.018
1659564000000,1765.468,1765.61,1763.174,1763.288
1659567600000,1763.23,1764.468,1763.188,1763.615
1659571200000,1763.615,1767.388,1763.258,1767.294
1659574800000,1767.208,1769.514,1765.904,1768.114
1659578400000,1768.038,1769.148,1766.848,1769.098
1659582000000,1769.098,1771.398,1769.038,1770.614
1659585600000,1770.614,1771.914,1770.028,1770.804
1659589200000,1770.804,1774.514,1769.204,1769.698
1659592800000,1769.698,1772.514,1768.938,1771.596
1659596400000,1771.596,1774.758,1770.997,1772.945
1659600000000,1772.945,1776.862,1772.664,1776.275
1659603600000,1776.28,1780.088,1775.995,1779.652
1659607200000,1779.652,1782.998,1778.198,1781.568
1659610800000,1781.543,1786.178,1780.448,1785.578
1659614400000,1785.578,1788.468,1780.618,1780.628
1659618000000,1780.644,1784.028,1774.148,1783.388
1659621600000,1783.393,1787.614,1782.028,1785.714
1659625200000,1785.714,1790.108,1785.178,1787.668
1659628800000,1787.678,1791.494,1787.044,1790.364
1659632400000,1790.358,1792.758,1789.308,1791.764
1659636000000,1791.764,1794.898,1791.073,1794.568
1659639600000,1794.598,1794.804,1791.898,1793.468
1659643200000,1793.488,1793.658,1790.578,1790.978
1659646800000,1790.978,1790.978,1790.978,1790.978
1659650400000,1790.618,1791.248,1789.634,1790.868
1659654000000,1790.848,1793.468,1790.848,1793.264
1659657600000,1793.264,1794.764,1791.674,1793.848
1659661200000,1793.868,1794.764,1788.654,1789.984
1659664800000,1789.904,1791.208,1788.758,1790.86
1659668400000,1790.86,1793.028,1790.754,1792.018
1659672000000,1792.008,1792.798,1790.998,1791.674
1659675600000,1791.664,1792.658,1789.778,1791.274
1659679200000,1791.274,1792.318,1788.504,1790.658
1659682800000,1790.663,1792.294,1788.588,1790.447
1659686400000,1790.417,1790.667,1785.324,1787.337
1659690000000,1787.337,1787.987,1785.258,1786.497
1659693600000,1786.512,1786.812,1783.76,1785.128
1659697200000,1785.128,1788.448,1783.828,1787.75
1659700800000,1787.75,1789.123,1767.332,1768.902
1659704400000,1768.894,1775.027,1764.907,1774.847
1659708000000,1774.834,1779.064,1773.127,1777.848
1659711600000,1777.847,1777.888,1772.658,1773.628
1659715200000,1773.638,1775.208,1771.464,1774.178
1659718800000,1774.208,1775.958,1773.238,1774.934
1659722400000,1774.894,1775.834,1772.268,1772.518
1659726000000,1772.518,1775.264,1771.788,1773.338
1659729600000,1773.464,1775.604,1772.848,1774.718
1659733200000,1774.718,1774.718,1774.718,1774.718
1659736800000,1774.718,1774.718,1774.718,1774.718
1659740400000,1774.718,1774.718,1774.718,1774.718
1659744000000,1774.718,1774.718,1774.718,1774.718
1659747600000,1774.718,1774.718,1774.718,1774.718
1659751200000,1774.718,1774.718,1774.718,1774.718
1659754800000,1774.718,1774.718,1774.718,1774.718
1659758400000,1774.718,1774.718,1774.718,1774.718
1659762000000,1774.718,1774.718,1774.718,1774.718
1659765600000,1774.718,1774.718,1774.718,1774.718
1659769200000,1774.718,1774.718,1774.718,1774.718
1659772800000,1774.718,1774.718,1774.718,1774.718
1659776400000,1774.718,1774.718,1774.718,1774.718
1659780000000,1774.718,1774.718,1774.718,1774.718
1659783600000,1774.718,1774.718,1774.718,1774.718
1659787200000,1774.718,1774.718,1774.718,1774.718
1659790800000,1774.718,1774.718,1774.718,1774.718
1659794400000,1774.718,1774.718,1774.718,1774.718
1659798000000,1774.718,1774.718,1774.718,1774.718
1659801600000,1774.718,1774.718,1774.718,1774.718
1659805200000,1774.718,1774.718,1774.718,1774.718
1659808800000,1774.718,1774.718,1774.718,1774.718
1659812400000,1774.718,1774.718,1774.718,1774.718
1659816000000,1774.718,1774.718,1774.718,1774.718
1659819600000,1774.718,1774.718,1774.718,1774.718
1659823200000,1774.718,1774.718,1774.718,1774.718
1659826800000,1774.718,1774.718,1774.718,1774.718
1659830400000,1774.718,1774.718,1774.718,1774.718
1659834000000,1774.718,1774.718,1774.718,1774.718
1659837600000,1774.718,1774.718,1774.718,1774.718
1659841200000,1774.718,1774.718,1774.718,1774.718
1659844800000,1774.718,1774.718,1774.718,1774.718
1659848400000,1774.718,1774.718,1774.718,1774.718
1659852000000,1774.718,1774.718,1774.718,1774.718
1659855600000,1774.718,1774.718,1774.718,1774.718
1659859200000,1774.718,1774.718,1774.718,1774.718
1659862800000,1774.718,1774.718,1774.718,1774.718
1659866400000,1774.718,1774.718,1774.718,1774.718
1659870000000,1774.718,1774.718,1774.718,1774.718
1659873600000,1774.718,1774.718,1774.718,1774.718
1659877200000,1774.718,1774.718,1774.718,1774.718
1659880800000,1774.718,1774.718,1774.718,1774.718
1659884400000,1774.718,1774.718,1774.718,1774.718
1659888000000,1774.718,1774.718,1774.718,1774.718
1659891600000,1774.718,1774.718,1774.718,1774.718
1659895200000,1774.718,1774.718,1774.718,1774.718
1659898800000,1774.718,1774.718,1774.718,1774.718
1659902400000,1774.718,1774.718,1774.718,1774.718
1659906000000,1774.718,1774.718,1774.718,1774.718
1659909600000,1773.748,1774.864,1770.565,1773.628
1659913200000,1773.628,1774.968,1773.598,1774.438
1659916800000,1774.428,1774.428,1771.01,1774.078
1659920400000,1774.088,1775.344,1773.404,1774.884
1659924000000,1774.928,1775.104,1773.444,1773.544
1659927600000,1773.514,1773.554,1771.768,1773.268
1659931200000,1773.268,1773.518,1771.528,1771.848
1659934800000,1771.838,1776.358,1771.148,1774.908
1659938400000,1774.934,1775.164,1773.118,1774.724
1659942000000,1774.674,1779.104,1774.408,1777.658
1659945600000,1777.618,1777.634,1772.438,1773.919
1659949200000,1773.919,1777.548,1772.824,1777.548
1659952800000,1777.578,1779.934,1776.264,1779.822
1659956400000,1779.815,1783.144,1779.628,1782.744
1659960000000,1782.738,1786.444,1781.232,1781.774
1659963600000,1781.774,1784.738,1780.544,1784.588
1659967200000,1784.608,1789.614,1782.884,1787.378
1659970800000,1787.418,1789.924,1786.008,1787.048
1659974400000,1787.048,1788.158,1785.534,1787.564
1659978000000,1787.564,1789.048,1786.918,1787.524
1659981600000,1787.538,1789.334,1786.318,1787.278
1659985200000,1787.278,1788.764,1786.884,1788.418
1659988800000,1788.414,1789.474,1788.114,1788.758
1659992400000,1788.758,1788.758,1788.758,1788.758
1659996000000,1788.118,1789.064,1788.018,1788.138
1659999600000,1788.128,1790.564,1787.748,1789.034
1660003200000,1789.044,1790.078,1787.878,1788.914
1660006800000,1788.975,1789.934,1783.698,1783.758
1660010400000,1783.694,1785.274,1783.038,1785.214
1660014000000,1785.214,1787.728,1785.094,1785.598
1660017600000,1785.568,1786.518,1785.208,1786.068
1660021200000,1786.068,1788.688,1785.288,1788.578
1660024800000,1788.578,1789.168,1784.298,1785.518
1660028400000,1785.518,1787.588,1783.457,1787.008
1660032000000,1786.998,1793.308,1786.332,1790.284
1660035600000,1790.254,1792.078,1788.127,1790.822
1660039200000,1790.848,1794.578,1790.188,1790.964
1660042800000,1790.952,1792.596,1789.328,1789.358
1660046400000,1789.388,1793.998,1787.975,1793.748
1660050000000,1793.784,1800.364,1792.518,1797.588
1660053600000,1797.478,1797.988,1790.138,1790.918
1660057200000,1790.918,1796.074,1790.008,1796.055
1660060800000,1796.042,1798.224,1794.724,1795.134
1660064400000,1795.154,1796.448,1793.668,1794.208
1660068000000,1794.288,1795.344,1793.258,1794.278
1660071600000,1794.278,1795.988,1793.854,1793.894
1660075200000,1793.904,1794.968,1793.428,1794.018
1660078800000,1794.018,1794.018,1794.018,1794.018
1660082400000,1793.988,1794.864,1793.55,1793.598
1660086000000,1793.568,1794.318,1793.118,1793.968
1660089600000,1793.988,1794.078,1791.548,1792.665
1660093200000,1792.665,1793.118,1790.944,1792.768
1660096800000,1792.768,1794.498,1792.438,1793.638
1660100400000,1793.658,1794.014,1790.838,1791.154
1660104000000,1791.134,1791.328,1789.738,1790.238
1660107600000,1790.238,1790.278,1788.078,1788.234
1660111200000,1788.238,1789.438,1787.478,1789.015
1660114800000,1789.015,1791.778,1788.508,1790.364
